outcome,outs,on_third,num_pitches,is_hitters_count,is_pitchers_count,pickoffs_to_first,pitchouts,pitches_run_on,pitcher_throws_left,batter_bats_left,p_sb_rate_2017,p_pickoff_rate_2018,p_fastball_rate_2018,r_sb_rate_2017,r_sprint_speed_2018,c_sb_rate_2017,c_pop_2b_sba_2018
SUCCESS,0,False,0,False,False,1,0,1,False,False,1.0,0.0,0.5833924769339958,0.8059701492537313,29.0,,2.0
SUCCESS,0,False,2,False,True,0,0,1,False,False,0.75,0.0,0.581151832460733,0.8,28.3,,2.0
SUCCESS,0,False,0,False,False,0,0,1,False,False,,0.041666666666666664,0.4490960989533777,0.5625,27.7,,2.0
FAILURE,1,False,6,False,False,1,0,2,False,True,,0.017857142857142856,0.4741306191687871,1.0,25.8,,2.0
SUCCESS,2,False,6,False,True,1,0,2,False,False,0.5,0.0,0.7467411545623837,,28.4,0.7,2.02
SUCCESS,0,False,0,False,False,0,0,1,False,False,,0.0,0.7227272727272728,,28.4,0.7,2.02
FAILURE,2,False,4,True,False,1,0,1,False,True,0.5,0.0,0.5729083665338646,0.8461538461538461,29.0,0.7,2.02
FAILURE,1,False,6,False,False,0,0,2,False,True,,0.03571428571428571,0.5328244274809161,,26.5,0.7,2.02
SUCCESS,0,False,2,False,True,0,0,0,False,True,0.8823529411764706,0.0,0.5963149078726968,0.7058823529411765,27.9,0.65,2.02
SUCCESS,0,False,6,False,False,2,0,1,False,False,,0.0,0.5636363636363636,0.7777777777777778,27.9,,2.05
FAILURE,0,False,3,False,True,0,0,0,False,False,0.75,0.0,0.581151832460733,0.7931034482758621,28.1,0.63,2.0
SUCCESS,2,False,0,False,False,2,0,1,False,True,1.0,0.0,0.7154046997389034,0.7777777777777778,29.7,,2.05
SUCCESS,0,False,0,False,False,0,0,0,False,False,0.8181818181818182,0.02247191011235955,0.4957142857142857,1.0,26.1,0.61,1.99
SUCCESS,1,False,5,False,False,0,0,1,False,False,,0.0,0.58,1.0,27.5,,2.05
SUCCESS,2,True,2,True,False,0,0,1,False,True,0.8571428571428571,0.0,0.5290880503144654,,26.7,0.76,2.04
FAILURE,2,False,1,False,False,1,0,1,False,True,,0.0,0.3905429071803853,0.7777777777777778,29.7,0.63,2.0
SUCCESS,2,False,4,False,True,1,0,1,True,False,0.75,0.0,0.5233846153846153,0.75,27.1,0.76,2.04
SUCCESS,0,False,1,False,False,1,0,1,False,True,,0.0,0.58,0.7777777777777778,29.7,0.63,2.0
FAILURE,0,False,1,False,False,0,0,1,False,False,,0.0,0.5752212389380531,0.7058823529411765,27.9,,2.04
SUCCESS,2,False,4,False,True,2,0,1,True,True,,0.0,0.7707006369426752,0.8461538461538461,29.3,,2.04
SUCCESS,2,True,2,False,True,0,0,1,False,True,,0.0,0.58,0.7222222222222222,28.2,,2.02
FAILURE,2,True,3,False,True,0,0,1,False,True,0.5,0.0,0.5529865125240848,0.7037037037037037,27.9,,2.0
SUCCESS,1,False,2,False,False,0,0,1,True,True,1.0,0.0,0.6111655239960823,,29.5,,2.0
FAILURE,2,False,3,False,False,2,0,0,False,False,,0.016129032258064516,0.4951635191156149,0.5625,27.7,,2.0
FAILURE,1,True,7,False,False,1,0,0,True,False,1.0,0.05555555555555555,0.546801872074883,,26.7,0.5,2.12
FAILURE,1,False,0,False,False,0,1,1,False,False,0.75,0.03571428571428571,0.40040444893832156,,28.4,0.76,2.02
