id,LAN201807150
info,visteam,ANA
info,hometeam,LAN
info,date,2018/07/15
info,starttime,1:11PM
start,fletd002,"""David Fletcher""",0,1,5
start,simma001,"""Andrelton Simmons""",0,2,6
start,troum001,"""Mike Trout""",0,3,8
start,uptoj001,"""Justin Upton""",0,4,7
start,kinsi001,"""Ian Kinsler""",0,5,4
start,martj007,"""Jefry Marte""",0,6,3
start,calhk001,"""Kole Calhoun""",0,7,9
start,maldm001,"""Martin Maldonado""",0,8,2
start,mcgud001,"""Deck McGuire""",0,9,1
start,pedej001,"""Joc Pederson""",1,1,7
start,muncm001,"""Max Muncy""",1,2,5
start,kempm001,"""Matt Kemp""",1,3,9
start,bellc002,"""Cody Bellinger""",1,4,3
start,grany001,"""Yasmani Grandal""",1,5,2
start,tolea001,"""Andrew Toles""",1,6,8
start,taylc001,"""Chris Taylor""",1,7,6
start,herne001,"""Enrique Hernandez""",1,8,4
start,kersc001,"""Clayton Kershaw""",1,9,1
play,1,1,pedej001,12,BCFFH,HP
play,1,1,muncm001,32,*BBBFFF1>F>C,K+CS2(26)/DP
play,1,1,kempm001,02,CCX,7/L+
sub,ramin002,"""Noe Ramirez""",0,9,1
sub,valbl001,"""Luis Valbuena""",0,9,3
sub,colet001,"""Taylor Cole""",0,6,1
sub,maedk001,"""Kenta Maeda""",1,9,1
sub,utlec001,"""Chase Utley""",1,9,11
sub,alexs001,"""Scott Alexander""",1,9,1
sub,blasj001,"""Jabari Blash""",0,6,11
sub,drako001,"""Oliver Drake""",0,6,1
sub,forsl001,"""Logan Forsythe""",1,3,4
sub,herne001,"""Enrique Hernandez""",1,8,9
sub,ohtas001,"""Shohei Ohtani""",0,9,11
sub,jansk001,"""Kenley Jansen""",1,9,1
