id,BAL201809120
info,visteam,OAK
info,hometeam,BAL
info,date,2018/09/12
info,starttime,7:08PM
start,laurr001,"""Ramon Laureano""",0,1,8
start,chapm001,"""Matt Chapman""",0,2,5
start,lowrj001,"""Jed Lowrie""",0,3,4
start,davik003,"""Khris Davis""",0,4,10
start,olsom001,"""Matt Olson""",0,5,3
start,piscs001,"""Stephen Piscotty""",0,6,9
start,semim001,"""Marcus Semien""",0,7,6
start,martn003,"""Nick Martini""",0,8,7
start,lucrj001,"""Jonathan Lucroy""",0,9,2
start,hendl001,"""Liam Hendriks""",0,0,1
start,mullc002,"""Cedric Mullins""",1,1,8
start,villj001,"""Jonathan Villar""",1,2,4
start,manct001,"""Trey Mancini""",1,3,10
start,jonea003,"""Adam Jones""",1,4,9
start,davic003,"""Chris Davis""",1,5,3
start,beckt001,"""Tim Beckham""",1,6,6
start,stewd002,"""DJ Stewart""",1,7,7
start,wynna001,"""Austin Wynns""",1,8,2
start,petej002,"""Jace Peterson""",1,9,5
start,casha001,"""Andrew Cashner""",1,0,1
play,1,0,laurr001,01,CX,S5/G-
play,1,0,chapm001,10,BX,8/F
play,1,0,lowrj001,12,C1FB1N1,SB2
play,1,0,lowrj001,22,C1FB1N1.BFX,8/L
play,1,0,davik003,12,BFSX,13/G-
sub,mengd001,"""Daniel Mengden""",0,0,1
sub,carrc004,"""Cody Carroll""",1,0,1
sub,gilms001,"""Sean Gilmartin""",1,0,1
sub,andrj001,"""John Andreoli""",1,4,7
sub,stewd002,"""DJ Stewart""",1,7,9
sub,valeb001,"""Breyvic Valera""",1,2,4
sub,meisr001,"""Ryan Meisinger""",1,0,1
sub,pindc001,"""Chad Pinder""",0,2,11
sub,barrf001,"""Franklin Barreto""",0,3,11
sub,pindc001,"""Chad Pinder""",0,2,5
sub,barrf001,"""Franklin Barreto""",0,3,4
sub,dullr001,"""Ryan Dull""",0,0,1
sub,siscc001,"""Chance Sisco""",1,3,11
sub,josec001,"""Corban Joseph""",1,5,3
sub,joycm001,"""Matt Joyce""",0,4,11
sub,canhm001,"""Mark Canha""",0,5,11
sub,fowld002,"""Dustin Fowler""",0,6,11
sub,canhm001,"""Mark Canha""",0,5,3
sub,fowld002,"""Dustin Fowler""",0,6,9
sub,wendj001,"""J.B. Wendelken""",0,0,1
sub,valeb001,"""Breyvic Valera""",1,2,6
sub,nuner001,"""Renato Nunez""",1,6,5
sub,petej002,"""Jace Peterson""",1,9,4
sub,fry-p001,"""Paul Fry""",1,0,1
sub,taylb003,"""Beau Taylor""",0,9,11
sub,taylb003,"""Beau Taylor""",0,9,2
sub,brooa001,"""Aaron Brooks""",0,0,1
