id,MIA201803310
info,visteam,CHN
info,hometeam,MIA
info,date,2018/03/31
info,starttime,7:10PM
start,happi001,"""Ian Happ""",0,1,8
start,bryak001,"""Kris Bryant""",0,2,5
start,rizza001,"""Anthony Rizzo""",0,3,3
start,contw001,"""Willson Contreras""",0,4,2
start,schwk001,"""Kyle Schwarber""",0,5,7
start,russa002,"""Addison Russell""",0,6,6
start,zobrb001,"""Ben Zobrist""",0,7,4
start,heywj001,"""Jason Heyward""",0,8,9
start,darvy001,"""Yu Darvish""",0,9,1
start,brinl001,"""Lewis Brinson""",1,1,8
start,dietd001,"""Derek Dietrich""",1,2,7
start,casts001,"""Starlin Castro""",1,3,4
start,bourj002,"""Justin Bour""",1,4,3
start,andeb006,"""Brian Anderson""",1,5,5
start,maybc001,"""Cameron Maybin""",1,6,9
start,rojam002,"""Miguel Rojas""",1,7,6
start,holab001,"""Bryan Holaday""",1,8,2
start,despo001,"""Odrisamer Despaigne""",1,9,1
play,4,1,bourj002,32,BBBCFX,53/G
play,4,1,andeb006,32,BCSBBB,W
play,4,1,maybc001,32,*B11CBBF>S,K+CS2(24)/DP
sub,telit001,"""Tomas Telis""",1,9,11
sub,duenb001,"""Brian Duensing""",0,9,1
sub,turnj002,"""Jacob Turner""",1,9,1
sub,lastt001,"""Tommy La Stella""",0,9,11
sub,cishs001,"""Steve Cishek""",0,9,1
sub,lee-b001,"""Braxton Lee""",1,9,11
sub,almoa002,"""Albert Almora""",0,9,7
sub,edwac001,"""Carl Edwards""",0,5,1
sub,tazaj001,"""Junichi Tazawa""",1,9,1
sub,baezj001,"""Javier Baez""",0,5,4
sub,zobrb001,"""Ben Zobrist""",0,7,7
sub,almoa002,"""Albert Almora""",0,9,8
sub,strop001,"""Pedro Strop""",0,1,1
sub,coopg002,"""Garrett Cooper""",1,9,11
sub,ziegb001,"""Brad Ziegler""",1,9,1
sub,carav001,"""Victor Caratini""",0,1,11
sub,ograc001,"""Chris O'Grady""",1,9,1
sub,montm002,"""Mike Montgomery""",0,1,1
