last_name, first_name,player_id,year,r_total_caught_stealing,r_total_stolen_base,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_pickoff_1b,r_pickoff_2b,r_pickoff_3b,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,r_total_pickoff,n_bolts,hp_to_1b,sprint_speed,
Gurriel, Yuli,493329,2017,2,3,2,0,0,1,0,0,2,1,0,1,1,4.36,26.9,
Beckham, Gordon,493596,2017,0,1,0,0,0,0,0,0,1,0,0,0,1,,25.0,
Solarte, Yangervis,500208,2017,0,3,0,0,0,0,0,0,3,0,0,0,,4.74,24.7,
Rojas, Miguel,500743,2017,1,2,0,1,0,0,0,0,2,0,0,0,,4.39,27.0,
Quintana, Jose,500779,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Escobar, Eduardo,500871,2017,1,5,1,0,0,0,0,0,5,0,0,0,,4.25,27.6,
Martinez, Jose,500874,2017,0,4,0,0,0,1,0,0,4,0,0,1,,4.38,27.6,
Adrianza, Ehire,501303,2017,1,8,1,0,0,1,0,0,6,2,0,1,,4.3,27.1,
Lagares, Juan,501571,2017,3,7,2,0,1,0,0,0,6,1,0,0,2,4.27,28.6,
Almonte, Abraham,501659,2017,1,2,1,0,0,0,0,0,2,0,0,0,,4.26,28.5,
Freese, David,501896,2017,1,0,0,1,0,1,0,0,0,0,0,1,,4.43,26.0,
Davis, Khris,501981,2017,0,4,0,0,0,0,0,0,3,1,0,0,,4.73,26.5,
Marrero, Chris,502029,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.3,
Locke, Jeff,502046,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Pham, Tommy,502054,2017,7,25,6,1,0,6,0,0,18,7,0,6,11,4.4,28.7,
Chisenhall, Lonnie,502082,2017,2,2,2,0,0,1,0,0,2,0,0,1,,4.44,26.5,
Presley, Alex,502100,2017,0,5,0,0,0,0,0,0,5,0,0,0,1,4.16,28.3,
Martinez, J.D.,502110,2017,0,4,0,0,0,0,0,0,3,1,0,0,,4.42,27.0,
Negron, Kristopher,502117,2017,0,0,0,0,0,0,0,0,0,0,0,0,3,,29.5,
Valencia, Danny,502143,2017,2,2,2,0,0,0,0,0,2,0,0,0,,4.48,27.0,
Huffman, Chad,502151,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.9,
Samardzija, Jeff,502188,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.0,
Leake, Mike,502190,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.5,27.2,
Reddick, Josh,502210,2017,3,7,3,0,0,0,0,0,4,3,0,0,,4.2,27.7,
Gentry, Craig,502226,2017,4,5,4,0,0,1,0,0,3,2,0,1,11,4.2,29.4,
Cahill, Trevor,502239,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,20.0,
Freeman, Mike,502273,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.27,28.4,
Heisey, Chris,502317,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.37,27.7,
Dyson, Jarrod,502481,2017,7,28,4,3,0,0,1,0,27,1,0,1,30,4.1,28.2,
Murphy, Daniel,502517,2017,0,2,0,0,0,0,0,0,2,0,0,0,,4.39,26.2,
Gale, Rocky,502570,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Anderson, Chase,502624,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.4,
Goldschmidt, Paul,502671,2017,5,18,5,0,0,0,1,0,12,5,1,1,,4.47,26.8,
Peralta, Wily,503449,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Gonzalez, Marwin,503556,2017,3,8,0,3,0,1,1,0,7,1,0,2,,4.31,26.7,
Darvish, Yu,506433,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Amarista, Alexi,506560,2017,0,1,0,0,0,1,0,0,1,0,0,1,,4.34,26.5,
Leon, Sandy,506702,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.73,23.8,
Sanchez, Adrian,506703,2017,2,0,1,1,0,1,0,0,0,0,0,1,,4.32,27.4,
Pena, Francisco,506747,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.1,
Cardullo, Stephen,506924,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.2,
Altuve, Jose,514888,2017,6,32,6,0,0,4,0,0,23,9,0,4,59,4.13,28.4,
Tejada, Ruben,514913,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.57,26.5,
Hernandez, Cesar,514917,2017,5,15,5,0,0,3,0,0,15,0,0,3,80,4.14,29.4,
Segura, Jean,516416,2017,8,22,8,0,0,2,0,0,19,3,0,2,9,4.25,27.1,
Castro, Starlin,516770,2017,0,2,0,0,0,0,0,0,2,0,0,0,,4.31,27.5,
Marte, Starling,516782,2017,4,21,4,0,0,3,1,0,20,0,1,4,26,4.12,28.9,
Sanchez, Hector,516949,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.9,
Pirela, Jose,517369,2017,3,4,3,0,0,0,0,0,3,1,0,0,8,4.23,29.1,
Bettis, Chad,518452,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Blash, Jabari,518466,2017,2,1,2,0,0,2,0,0,1,0,0,2,,4.5,27.6,
Bumgarner, Madison,518516,2017,0,0,0,0,0,0,1,0,0,0,0,1,,,,
Centeno, Juan,518542,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.9,
Colon, Christian,518568,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.63,25.7,
Culberson, Charlie,518586,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,28.6,
d'Arnaud, Travis,518595,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.55,26.7,
Descalso, Daniel,518614,2017,0,4,0,0,0,0,0,0,4,0,0,0,,4.28,27.2,
Dietrich, Derek,518618,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.26,27.3,
Donaldson, Josh,518626,2017,2,2,2,0,0,1,0,0,2,0,0,1,,4.48,26.3,
