catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Pedro Severino,,120,23,84.5,0.85,1,1.86,1.86,,1,1.77,1.77,
Chris Stewart,,134,35,79.8,0.64,17,1.93,1.89,1.97,3,1.54,,1.54
Luis Torrens,,135,21,81.3,0.72,7,1.98,1.9,1.99,0,,,
Salvador Perez,,118,27,82.7,0.65,39,1.95,1.91,1.97,3,1.71,1.93,1.61
Austin Hedges,,135,24,85.8,0.7,26,1.89,1.92,1.88,4,1.48,1.46,1.5
J.T. Realmuto,,146,26,87,0.68,35,1.9,1.92,1.88,4,1.49,1.48,1.51
Yan Gomes,,114,29,81.3,0.65,28,1.95,1.92,1.98,1,1.51,1.51,
Willson Contreras,,112,25,86.7,0.73,34,1.96,1.92,1.98,7,1.59,1.62,1.56
Gary Sanchez,,147,24,87.8,0.74,36,1.93,1.93,1.92,1,1.5,,1.5
Chris Herrmann,,109,29,80.8,0.75,12,1.98,1.94,2.01,0,,,
Carlos Pérez,,108,26,79.8,0.65,8,1.96,1.94,1.98,0,,,
Martín Maldonado,,108,30,87.9,0.75,39,1.93,1.94,1.93,3,1.61,1.7,1.56
Welington Castillo,,110,30,82.6,0.66,17,1.94,1.94,1.94,2,1.76,1.69,1.83
Elias Díaz,,134,26,85,0.75,10,1.93,1.94,1.92,2,1.46,1.45,1.47
Jorge Alfaro,,143,24,89.8,0.77,9,1.95,1.95,1.95,0,,,
Mike Marjama,,136,27,,0.77,1,1.95,1.95,,0,,,
Sandy Leon,,111,28,81.2,0.67,22,1.97,1.96,1.98,2,1.54,1.54,
Roberto Perez,,114,28,84.5,0.73,16,1.95,1.96,1.95,2,1.56,1.61,1.5
Christian Vázquez,,111,26,83.2,0.66,20,1.96,1.96,1.97,1,1.56,1.56,
Manny Piña,,158,30,85,0.68,42,1.93,1.96,1.92,1,1.46,1.46,
Mitch Garver,,142,26,81.5,0.72,1,1.96,1.96,,0,,,
Tom Murphy,,115,26,82.2,0.78,1,1.98,1.98,,0,,,
Derek Norris,,139,28,79.5,0.71,14,2.01,1.98,2.03,2,1.6,,1.6
Héctor Sánchez,,135,27,82.5,0.68,6,2,1.98,2,1,1.62,,1.62
,,NaN,,,0.79,1,1.99,1.99,,0,,,
René Rivera,,112,33,81.4,0.67,24,1.99,1.99,1.99,3,1.53,1.56,1.52
John Hicks,,116,27,83.4,0.72,4,1.98,1.99,1.98,0,,,
Jett Bandy,,158,27,82.8,0.73,17,1.98,2,1.97,4,1.71,1.91,1.51
Nick Hundley,,137,33,81.3,0.73,26,2.03,2,2.04,2,1.58,1.58,
Buster Posey,,137,30,82.5,0.75,31,2.02,2,2.03,4,1.6,1.59,1.6
Francisco Cervelli,,134,31,80.7,0.76,22,2.01,2,2.01,0,,,
Yadier Molina,,138,34,83.3,0.73,28,1.97,2,1.93,5,1.57,1.59,1.53
Tucker Barnhart,,113,26,80.3,0.69,35,2,2,2,5,1.67,1.62,1.71
Austin Barnes,,119,27,80.7,0.72,9,2.01,2,2.01,1,1.54,1.54,
Jacob Stallings,,134,27,83.6,0.71,1,2,2,,1,1.55,,1.55
Josh Phegley,,133,29,80.4,0.68,18,1.97,2.01,1.94,3,1.88,,1.88
Tony Wolters,,115,25,78.2,0.65,19,1.99,2.01,1.95,6,1.56,1.57,1.55
Drew Butera,,118,33,86.1,0.73,16,1.95,2.01,1.94,3,1.51,1.55,1.49
Austin Romine,,147,28,83.4,0.79,11,2.05,2.01,2.06,2,1.69,1.71,1.68
James McCann,,116,27,82.8,0.76,43,2.02,2.02,2.02,0,,,
Caleb Joseph,,110,31,80.4,0.73,32,2.03,2.02,2.03,5,1.6,1.62,1.6
Jonathan Lucroy,,115,31,80.1,0.75,35,2.05,2.02,2.06,4,1.6,1.68,1.58
Geovany Soto,,145,34,78.5,0.7,6,2.04,2.02,2.05,0,,,
Luke Maile,,141,26,83.8,0.75,16,2,2.02,1.98,1,1.84,,1.84
Ryan Hanigan,,115,36,78.9,0.75,8,2.02,2.02,2.02,2,1.6,,1.6
Max Stassi,,117,26,,0.77,1,2.02,2.02,,0,,,
Jose Lobaton,,120,32,81.7,0.76,16,2.01,2.03,2.01,0,,,
Evan Gattis,,117,30,83.7,0.8,21,2.04,2.03,2.04,4,1.67,,1.67
Omar Narváez,,145,25,81.2,0.75,41,2.04,2.03,2.04,3,1.58,1.58,1.59
Kevan Smith,,145,29,80.8,0.75,21,2.05,2.03,2.05,5,1.65,1.61,1.66
Victor Caratini,,112,23,81,0.82,2,2.08,2.03,2.13,1,1.71,1.71,
Raffy Lopez,,141,29,83.7,0.79,6,2.06,2.03,2.06,0,,,
Wilson Ramos,,139,29,81.3,0.76,15,2.04,2.03,2.05,0,,,
Mike Zunino,,136,26,80.6,0.71,36,2.02,2.04,2.01,3,1.73,1.63,1.78
Rob Brantly,,145,27,80.2,0.88,2,2.13,2.04,2.22,0,,,
Andrew Knapp,,143,25,82.5,0.77,17,2.02,2.04,2.01,3,1.59,1.65,1.57
Matt Wieters,,120,31,81,0.75,32,2.02,2.04,2,3,1.58,1.56,1.63
Dustin Garneau,,133,29,79.1,0.72,4,2.03,2.04,2.01,1,1.67,1.67,
Yasmani Grandal,,119,28,81.5,0.74,29,2.03,2.04,2.02,1,1.59,,1.59
Chris Iannetta,,109,34,82,0.79,14,2.05,2.05,2.05,1,1.58,1.58,
Robinson Chirinos,,140,33,80.9,0.78,23,2.04,2.05,2.03,3,2.09,2.07,2.12
Juan Centeno,,117,27,81.2,0.63,6,1.99,2.05,1.98,0,,,
Jesús Sucre,,139,29,84,0.71,11,1.97,2.06,1.94,4,1.51,1.53,1.44
Devin Mesoraco,,113,29,81.4,0.78,11,2.08,2.07,2.08,1,1.63,,1.63
Eric Fryer,,138,31,82.1,0.7,4,2.02,2.07,1.97,0,,,
Russell Martin,,141,34,81.6,0.71,28,2.01,2.07,1.99,7,1.66,1.56,1.78
Stuart Turner,,113,25,84.1,0.82,7,2.03,2.07,2.01,0,,,
Travis d'Arnaud,,121,28,82.4,0.78,34,2.06,2.07,2.05,3,1.65,1.72,1.61
Alex Avila,,112,30,81.3,0.78,27,2.06,2.07,2.05,3,1.55,1.54,1.57
Jeff Mathis,,109,34,78.5,0.72,16,2.05,2.07,2.03,0,,,
Kurt Suzuki,,144,33,81.4,0.81,20,2.07,2.07,2.07,3,1.7,1.78,1.54
Chris Gimenez,,142,34,81.4,0.76,19,2.06,2.08,2.04,3,1.61,1.63,1.57
A.J. Ellis,,146,36,76.9,0.76,11,2.09,2.08,2.1,1,1.67,,1.67
Juan Graterol,,108,28,82.1,0.78,21,2.04,2.08,2.03,0,,,
Cameron Rupp,,143,28,85.2,0.84,25,2.05,2.08,2.03,3,1.64,,1.64
Ryan Lavarnway,,133,29,79.7,0.9,1,2.09,2.09,,0,,,
Kevin Plawecki,,121,26,77.9,0.76,22,2.08,2.1,2.07,0,,,
Tuffy Gosewisch,,136,33,77.8,0.68,3,2.08,2.11,2.06,0,,,
Bruce Maxwell,,133,26,79.3,0.73,30,2.1,2.11,2.1,2,1.65,1.68,1.63
Stephen Vogt,,158,32,75.8,0.68,34,2.11,2.12,2.11,2,1.63,,1.63
Jason Castro,,142,30,81.4,0.81,32,2.07,2.12,2.05,1,1.64,,1.64
Carlos Ruiz,,136,38,79,0.78,14,2.08,2.13,2.06,3,1.61,1.57,1.63
Brian McCann,,117,33,77.8,0.76,23,2.1,2.14,2.09,2,1.93,1.6,2.27
Miguel Montero,,141,33,79.9,0.8,15,2.11,2.17,2.1,1,1.62,1.62,
Tyler Flowers,,144,31,74.7,0.75,29,2.14,2.19,2.12,4,1.66,1.66,
Chad Wallach,,113,25,,0.73,1,1.94,,1.94,0,,,
Tomás Telis,,146,26,81.5,0.78,1,2.01,,2.01,0,,,
Brett Nicholas,,140,28,79,0.73,6,2.09,,2.09,1,1.67,,1.67
Curt Casali,,139,28,80.2,0.82,1,2.01,,2.01,1,2.04,2.04,
Rocky Gale,,135,29,78,0.71,4,1.99,,1.99,0,,,
Jarrod Saltalamacchia,,141,32,80.1,0.74,3,2.1,,2.1,1,1.58,,1.58
Raudy Read,,120,23,,0.63,1,1.99,,1.99,0,,,
Cam Gallagher,,118,24,80.5,0.75,4,2.06,,2.06,0,,,
Taylor Davis,,112,27,,0.69,1,1.96,,1.96,0,,,
Mike Ohlman,,141,26,75.1,0.75,1,2.12,,2.12,0,,,
Chance Sisco,,110,22,78.5,0.91,1,2.23,,2.23,0,,,
Carson Kelly,,138,22,84.1,0.71,2,1.96,,1.96,2,1.54,1.54,
Kyle Higashioka,,147,27,,0.74,1,2.03,,2.03,0,,,
Blake Swihart,,111,25,,0.72,1,1.89,,1.89,0,,,
Anthony Recker,,144,33,,,1,2,,2,0,,,
Francisco Peña,,110,27,,0.73,1,2.02,,2.02,0,,,
